rank,prev_rank,name,league,off,def,spi
309,339,Almeria,Spanish Segunda Division,1.11,1.36,39.54
310,283,FC Ufa,Russian Premier Liga,0.93,1.15,39.48
311,331,New York Red Bulls,Major League Soccer,1.31,1.6,39.43
312,275,Rayo Vallecano,Spanish Segunda Division,1.21,1.49,39.38
313,316,Minnesota United FC,Major League Soccer,1.32,1.63,39.25
314,315,SC Paderborn,German 2. Bundesliga,1.27,1.57,39.23
315,300,Brescia,Italy Serie B,1.24,1.53,39.21
316,290,BK Hacken,Swedish Allsvenskan,1.15,1.43,39.19
317,360,Vissel Kobe,Japanese J League,1.44,1.76,39.17
318,320,Union Santa Fe,Argentina Primera Division,1.0,1.25,39.16
319,295,Girona FC,Spanish Segunda Division,1.05,1.31,39.15
320,322,Asteras Tripolis,Greek Super League,1.04,1.3,39.02
321,325,Necaxa,Mexican Primera Division Torneo Apertura,1.1,1.38,38.81
322,284,FC Tokyo,Japanese J League,1.16,1.45,38.74
323,319,FC Juárez,Mexican Primera Division Torneo Apertura,1.09,1.37,38.7
324,326,Shanghai Greenland,Chinese Super League,1.34,1.68,38.68
325,329,Portland Timbers,Major League Soccer,1.4,1.75,38.67
326,318,FC Dallas,Major League Soccer,1.23,1.55,38.59
327,330,Henan Jianye,Chinese Super League,1.25,1.57,38.55
328,350,KV Mechelen,Belgian Jupiler League,1.24,1.56,38.51
329,334,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.17,1.49,38.39
330,328,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.15,1.47,38.3
331,323,Spal,Italy Serie B,1.19,1.52,38.26
332,312,KV Kortrijk,Belgian Jupiler League,1.19,1.52,38.16
333,335,Hebei China Fortune FC,Chinese Super League,1.29,1.65,38.14
334,327,Odense BK,Danish SAS-Ligaen,1.23,1.57,38.13
335,336,Mamelodi Sundowns,South African ABSA Premier League,0.98,1.26,38.09
336,345,FC Twente,Dutch Eredivisie,1.25,1.6,38.07
337,340,Huracán,Argentina Primera Division,0.95,1.24,37.93
338,349,Troyes,French Ligue 2,1.03,1.34,37.9
339,324,Sanfrecce Hiroshima,Japanese J League,1.07,1.39,37.89
340,365,Sporting Gijón,Spanish Segunda Division,0.9,1.18,37.76
341,343,Wuhan Zall,Chinese Super League,1.17,1.53,37.62
342,337,Atlanta United FC,Major League Soccer,1.15,1.51,37.45
343,342,Toluca,Mexican Primera Division Torneo Apertura,1.22,1.6,37.28
344,352,Atromitos,Greek Super League,1.0,1.33,37.25
345,356,Atlas,Mexican Primera Division Torneo Apertura,1.01,1.35,37.23
346,347,Hartberg,Austrian T-Mobile Bundesliga,1.32,1.73,37.2
347,353,Central Córdoba Santiago del Estero,Argentina Primera Division,1.0,1.34,37.16
348,346,St. Pölten,Austrian T-Mobile Bundesliga,1.19,1.58,37.12
349,355,FC Sion,Swiss Raiffeisen Super League,1.03,1.38,36.99
350,371,Gamba Osaka,Japanese J League,1.17,1.56,36.96
351,370,FC Khimki,Russian Premier Liga,1.16,1.55,36.89
352,354,Randers FC,Danish SAS-Ligaen,1.14,1.53,36.78
353,368,Houston Dynamo,Major League Soccer,1.27,1.7,36.74
354,369,1. FC Nürnberg,German 2. Bundesliga,1.12,1.51,36.72
355,358,Dalian Aerbin,Chinese Super League,1.29,1.73,36.66
356,341,Kashiwa Reysol,Japanese J League,1.23,1.65,36.66
357,332,Sparta,Dutch Eredivisie,1.25,1.67,36.65
358,344,Caen,French Ligue 2,1.01,1.37,36.64
359,364,Guingamp,French Ligue 2,1.1,1.5,36.54
360,361,Kaizer Chiefs,South African ABSA Premier League,1.01,1.39,36.44
361,359,KFCO Beerschot-Wilrijk,Belgian Jupiler League,1.23,1.66,36.43
362,362,Sunderland,English League One,1.05,1.44,36.38
363,367,Fuenlabrada,Spanish Segunda Division,1.0,1.38,36.32
364,366,Las Palmas,Spanish Segunda Division,1.07,1.47,36.25
365,375,Hatayspor,Turkish Turkcell Super Lig,1.04,1.44,36.21
366,363,Puebla,Mexican Primera Division Torneo Apertura,1.07,1.48,36.02
367,357,SV Sandhausen,German 2. Bundesliga,1.19,1.64,35.99
368,393,SV Zulte Waregem,Belgian Jupiler League,1.25,1.71,35.93
369,373,FC Zurich,Swiss Raiffeisen Super League,1.27,1.73,35.92
370,351,FK Volgograd,Russian Premier Liga,1.07,1.49,35.83
371,402,Fatih Karagümrük,Turkish Turkcell Super Lig,1.11,1.55,35.79
372,377,Real Salt Lake,Major League Soccer,1.08,1.5,35.77
373,382,Málaga,Spanish Segunda Division,0.79,1.14,35.64
374,386,Lausanne Sports,Swiss Raiffeisen Super League,1.14,1.59,35.63
375,376,SV Ried,Austrian T-Mobile Bundesliga,1.16,1.62,35.63
376,383,Holstein Kiel,German 2. Bundesliga,1.18,1.64,35.58
377,385,Mouscron-Peruwelz,Belgian Jupiler League,1.03,1.45,35.45
378,379,Melbourne City,Australian A-League,1.17,1.64,35.39
379,396,Eupen,Belgian Jupiler League,1.1,1.55,35.33
380,380,Nagoya Grampus Eight,Japanese J League,1.09,1.54,35.33
381,348,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.09,1.55,35.27
382,397,Le Havre,French Ligue 2,0.95,1.37,35.2
